tree_type	tree_size	radius	ratio
PHTree	400000	50	2
QBSTree	400000	50	2
	
PHTree	400000	100	2
QBSTree	400000	100	2

PHTree	400000	150	2
QBSTree	400000	150	2

PHTree	400000	200	2
QBSTree	400000	200	2

PHTree	400000	250	2
QBSTree	400000	250	2

PHTree	400000	300	2
QBSTree	400000	300	2

PHTree	400000	100	1
QBSTree	400000	100	1

PHTree	400000	100	2
QBSTree	400000	100	2

PHTree	400000	100	3
QBSTree	400000	100	3

PHTree	400000	100	4
QBSTree	400000	100	4

PHTree	400000	100	5
QBSTree	400000	100	5

PHTree	400000	100	6
QBSTree	400000	100	6

PHTree	200000	100	2
QBSTree	200000	100	2

PHTree	400000	100	2
QBSTree	400000	100	2

PHTree	600000	100	2
QBSTree	600000	100	2

PHTree	800000	100	2
QBSTree	800000	100	2

PHTree	1000000	100	2
QBSTree	1000000	100	2

PHTree	1200000	100	2
QBSTree	1200000	100	2
